post_id,meta_key,meta_value
77723,_ywgc_amount_total,600
77724,_ywgc_amount_total,200
77725,_ywgc_amount_total,200
77726,_ywgc_amount_total,500
77727,_ywgc_amount_total,150
77728,_ywgc_amount_total,100
77729,_ywgc_amount_total,150
77730,_ywgc_amount_total,100
77731,_ywgc_amount_total,100
77732,_ywgc_amount_total,300
77733,_ywgc_amount_total,150
77734,_ywgc_amount_total,200
77735,_ywgc_amount_total,200
77736,_ywgc_amount_total,400
77737,_ywgc_amount_total,125
77739,_ywgc_amount_total,500
77740,_ywgc_amount_total,200
77741,_ywgc_amount_total,250
77742,_ywgc_amount_total,200
77743,_ywgc_amount_total,150
77744,_ywgc_amount_total,150
77745,_ywgc_amount_total,100
77746,_ywgc_amount_total,150
77747,_ywgc_amount_total,300
77748,_ywgc_amount_total,100
77749,_ywgc_amount_total,100
77750,_ywgc_amount_total,100
77751,_ywgc_amount_total,200
77752,_ywgc_amount_total,200
77753,_ywgc_amount_total,200
77754,_ywgc_amount_total,300
77755,_ywgc_amount_total,100
77756,_ywgc_amount_total,150
77757,_ywgc_amount_total,300
77758,_ywgc_amount_total,350
77759,_ywgc_amount_total,100
77760,_ywgc_amount_total,100
77762,_ywgc_amount_total,150
77763,_ywgc_amount_total,100
77764,_ywgc_amount_total,200
77765,_ywgc_amount_total,150
77766,_ywgc_amount_total,100
77767,_ywgc_amount_total,150
77768,_ywgc_amount_total,150
77769,_ywgc_amount_total,150
77770,_ywgc_amount_total,250
77771,_ywgc_amount_total,250
77772,_ywgc_amount_total,250
77773,_ywgc_amount_total,300
77774,_ywgc_amount_total,250
77775,_ywgc_amount_total,25
77776,_ywgc_amount_total,300
77777,_ywgc_amount_total,300
77778,_ywgc_amount_total,400
77779,_ywgc_amount_total,200
77780,_ywgc_amount_total,200
77781,_ywgc_amount_total,100
77782,_ywgc_amount_total,100
77783,_ywgc_amount_total,200
77784,_ywgc_amount_total,500
77785,_ywgc_amount_total,150
77786,_ywgc_amount_total,300
77787,_ywgc_amount_total,75
77788,_ywgc_amount_total,150
77789,_ywgc_amount_total,200
77790,_ywgc_amount_total,200
77791,_ywgc_amount_total,500
77792,_ywgc_amount_total,250
77794,_ywgc_amount_total,250
77795,_ywgc_amount_total,200
77796,_ywgc_amount_total,250
77797,_ywgc_amount_total,200
77798,_ywgc_amount_total,100
77799,_ywgc_amount_total,250
77800,_ywgc_amount_total,250
77801,_ywgc_amount_total,150
77802,_ywgc_amount_total,300
77803,_ywgc_amount_total,300
77804,_ywgc_amount_total,100
77805,_ywgc_amount_total,75
77806,_ywgc_amount_total,75
77807,_ywgc_amount_total,250
77809,_ywgc_amount_total,100
77810,_ywgc_amount_total,100
77811,_ywgc_amount_total,100
77812,_ywgc_amount_total,100
77813,_ywgc_amount_total,100
77814,_ywgc_amount_total,100
77815,_ywgc_amount_total,300
77816,_ywgc_amount_total,200
77817,_ywgc_amount_total,101
77818,_ywgc_amount_total,150
77819,_ywgc_amount_total,100
77820,_ywgc_amount_total,300
77821,_ywgc_amount_total,100
77822,_ywgc_amount_total,100
77823,_ywgc_amount_total,200
77824,_ywgc_amount_total,300
77825,_ywgc_amount_total,150
77826,_ywgc_amount_total,150
77827,_ywgc_amount_total,150
77828,_ywgc_amount_total,300
77829,_ywgc_amount_total,150
77830,_ywgc_amount_total,200
77831,_ywgc_amount_total,350
77832,_ywgc_amount_total,400
77833,_ywgc_amount_total,100
77834,_ywgc_amount_total,100
77835,_ywgc_amount_total,200
77836,_ywgc_amount_total,150
77837,_ywgc_amount_total,100
77838,_ywgc_amount_total,125
77839,_ywgc_amount_total,100
77840,_ywgc_amount_total,350
77841,_ywgc_amount_total,75
77842,_ywgc_amount_total,150
77843,_ywgc_amount_total,150
77844,_ywgc_amount_total,150
77846,_ywgc_amount_total,175
77847,_ywgc_amount_total,250
77848,_ywgc_amount_total,200
77849,_ywgc_amount_total,250
77850,_ywgc_amount_total,200
77851,_ywgc_amount_total,100
77852,_ywgc_amount_total,200
77853,_ywgc_amount_total,150
77854,_ywgc_amount_total,100
77855,_ywgc_amount_total,400
77856,_ywgc_amount_total,150
77857,_ywgc_amount_total,100
77859,_ywgc_amount_total,500
77860,_ywgc_amount_total,200
77861,_ywgc_amount_total,204
77862,_ywgc_amount_total,300
77863,_ywgc_amount_total,200
77864,_ywgc_amount_total,150
77865,_ywgc_amount_total,175
77866,_ywgc_amount_total,125
77867,_ywgc_amount_total,180
77868,_ywgc_amount_total,300
77869,_ywgc_amount_total,250
77870,_ywgc_amount_total,150
77871,_ywgc_amount_total,100
77872,_ywgc_amount_total,200
77873,_ywgc_amount_total,100
77874,_ywgc_amount_total,230
77875,_ywgc_amount_total,125
77876,_ywgc_amount_total,100
77877,_ywgc_amount_total,100
77878,_ywgc_amount_total,150
77879,_ywgc_amount_total,75
77880,_ywgc_amount_total,400
77881,_ywgc_amount_total,50
77882,_ywgc_amount_total,150
77883,_ywgc_amount_total,600
77884,_ywgc_amount_total,100
77885,_ywgc_amount_total,100
77886,_ywgc_amount_total,300
77887,_ywgc_amount_total,200
77888,_ywgc_amount_total,150
77889,_ywgc_amount_total,150
77890,_ywgc_amount_total,175
77891,_ywgc_amount_total,100
77892,_ywgc_amount_total,125
77893,_ywgc_amount_total,150
77894,_ywgc_amount_total,200
77895,_ywgc_amount_total,200
77896,_ywgc_amount_total,200
77897,_ywgc_amount_total,150
77898,_ywgc_amount_total,100
77899,_ywgc_amount_total,250
77900,_ywgc_amount_total,150
77901,_ywgc_amount_total,300
77902,_ywgc_amount_total,150
77903,_ywgc_amount_total,125
77904,_ywgc_amount_total,175
77905,_ywgc_amount_total,175
77906,_ywgc_amount_total,200
77907,_ywgc_amount_total,100
77908,_ywgc_amount_total,75
77909,_ywgc_amount_total,200
77910,_ywgc_amount_total,300
77911,_ywgc_amount_total,150
77912,_ywgc_amount_total,250
77913,_ywgc_amount_total,100
77914,_ywgc_amount_total,300
77915,_ywgc_amount_total,150
77917,_ywgc_amount_total,300
77918,_ywgc_amount_total,500
77919,_ywgc_amount_total,50
77920,_ywgc_amount_total,150
